iter	Passed	Remaining
0	0	531
1	0	467
2	1	446
3	1	432
4	2	426
5	2	419
6	2	414
7	3	411
8	3	407
9	4	407
10	4	406
11	4	406
12	5	405
13	5	404
14	6	404
15	6	404
16	6	404
17	7	403
18	7	403
19	8	404
20	8	406
21	9	407
22	9	408
23	10	408
24	10	407
25	10	407
26	11	408
27	11	408
28	12	414
29	13	421
30	13	423
31	13	422
32	14	421
33	14	421
34	15	421
35	15	420
36	16	420
37	16	419
38	17	419
39	17	419
40	17	419
41	18	420
42	18	419
43	19	419
44	19	418
45	20	418
46	20	418
47	21	417
48	21	418
49	22	418
50	22	418
51	22	418
52	23	418
53	23	417
54	24	417
55	24	417
56	25	417
57	25	416
58	26	416
59	26	420
60	27	422
61	28	430
62	29	431
63	29	431
64	29	431
65	30	431
66	30	431
67	31	431
68	31	431
69	32	431
70	32	431
71	33	430
72	33	430
73	34	430
74	34	429
75	35	429
76	35	428
77	36	427
78	36	427
79	37	426
80	37	426
81	38	425
82	38	424
83	38	424
84	39	423
85	39	423
86	40	423
87	40	422
88	41	422
89	41	423
90	42	423
91	42	423
92	43	422
93	43	422
94	44	421
95	44	421
96	45	420
97	45	419
98	46	419
99	46	418
100	46	417
101	47	417
102	47	417
103	48	416
104	48	416
105	49	415
106	49	415
107	50	414
108	50	414
109	51	414
110	51	413
111	52	413
112	52	413
113	53	412
114	53	412
115	54	411
116	54	411
117	54	410
118	55	410
119	56	413
120	56	413
121	57	413
122	57	412
123	58	412
124	58	411
125	59	411
126	59	410
127	60	409
128	60	409
129	61	408
130	61	408
131	62	408
132	62	407
133	62	407
134	63	406
135	63	405
136	64	405
137	64	404
138	65	404
139	65	404
140	66	403
141	66	402
142	67	402
143	67	402
144	68	401
145	68	400
146	69	400
147	69	399
148	69	399
149	70	399
150	71	399
151	71	399
152	72	398
153	72	398
154	73	398
155	73	397
156	73	396
157	74	396
158	74	395
159	75	395
160	75	394
161	76	394
162	76	393
163	77	392
164	77	392
165	77	391
166	78	391
167	78	390
168	79	389
169	79	389
170	80	389
171	80	388
172	81	388
173	81	387
174	82	387
175	82	386
176	82	385
177	83	385
178	83	384
179	84	384
180	84	384
181	85	384
182	85	383
183	86	383
184	86	382
185	87	382
186	88	384
187	88	383
188	89	383
189	89	383
190	90	382
191	90	381
192	91	381
193	91	380
194	92	380
195	92	379
196	92	379
197	93	378
198	93	378
199	94	377
200	94	376
201	95	376
202	95	375
203	96	375
204	96	374
205	97	374
206	97	373
207	97	373
208	98	372
209	98	372
210	99	372
211	100	372
212	100	372
213	101	371
214	101	371
215	102	371
216	102	370
217	103	370
218	103	369
219	104	369
220	104	369
221	105	368
222	105	368
223	106	367
224	106	367
225	107	367
226	107	366
227	108	366
228	108	365
229	109	365
230	109	364
231	110	364
232	110	364
233	111	363
234	111	363
235	112	363
236	112	362
237	113	362
238	114	364
239	115	367
240	116	367
241	117	367
242	117	367
243	118	366
244	118	366
245	119	365
246	119	365
247	120	364
248	120	363
249	121	363
250	121	362
251	122	362
252	122	361
253	123	361
254	123	360
255	123	360
256	124	359
257	124	359
258	125	358
259	125	357
260	126	357
261	126	356
262	127	356
263	127	355
264	128	355
265	128	354
266	129	354
267	129	354
268	130	354
269	130	353
270	131	352
271	131	352
272	132	351
273	132	351
274	133	350
275	133	350
276	133	349
277	134	349
278	134	348
279	135	347
280	135	347
281	136	346
282	136	346
283	137	345
284	137	345
285	138	344
286	138	343
287	138	343
288	139	343
289	139	342
290	140	341
291	140	341
292	141	340
293	141	340
294	142	339
295	142	339
296	143	339
297	144	339
298	144	338
299	145	338
300	145	337
301	145	337
302	146	336
303	146	336
304	147	335
305	147	335
306	148	334
307	148	334
308	149	333
309	149	333
310	150	332
311	150	331
312	150	331
313	151	330
314	151	330
315	152	329
316	152	329
317	153	328
318	153	328
319	154	327
320	154	327
321	155	326
322	155	326
323	156	325
324	156	325
325	157	324
326	157	324
327	158	324
328	158	323
329	159	323
330	159	322
331	160	321
332	160	321
333	160	320
334	161	320
335	161	319
336	162	319
337	162	318
338	163	318
339	163	317
340	164	317
341	164	316
342	164	316
343	165	315
344	165	314
345	166	314
346	166	313
347	167	313
348	167	312
349	168	312
350	168	311
351	169	311
352	169	310
353	170	310
354	170	310
355	171	309
356	171	309
357	172	309
358	172	308
359	173	308
360	173	307
361	174	307
362	174	306
363	175	305
364	175	305
365	176	304
366	176	304
367	176	303
368	177	303
369	177	302
370	178	302
371	178	301
372	179	301
373	179	300
374	180	300
375	180	299
376	180	299
377	181	298
378	181	297
379	182	297
380	182	296
381	183	296
382	183	295
383	184	295
384	184	294
385	185	294
386	185	293
387	185	293
388	186	293
389	187	293
390	188	293
391	188	292
392	189	292
393	189	291
394	190	291
395	190	290
396	191	290
397	191	289
398	192	289
399	192	288
